id,formula_name_pinyin,formula_name_english,main_indication_short,Enhanced_Nutrition_Modern_Diets
161,Xiao Huo Luo Dan,Minor Invigorate the Collaterals Special Pill,Wind-Cold-Damp with Phlegm blocking channels causing pain.,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
162,Da Huo Luo Dan,Major Invigorate the Collaterals Special Pill,Severe Wind-stroke with channel obstruction and paralysis.,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
163,Shen Tong Zhu Yu Tang Jia Wei,Modified Drive Out Stasis Painful Body Decoction,Chronic widespread pain with Cold Blood stasis.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
164,Shen Jin Wan,Stretch the Sinews Pill,Sinew contracture with limited range of motion.,"🥩 Protein-rich for healing (lean meats, fish, eggs, legumes), Bone broth (collagen), Turmeric + black pepper (anti-inflammatory) | 🥬 Dark leafy greens, Broccoli (Vitamin K), Bell peppers (Vitamin C) | 🍊 Citrus fruits, Pineapple (bromelain) | 🌰 Nuts, Seeds (Vitamin E, zinc) | Avoid: Alcohol, excessive sugar, processed foods | 🥄 Diet: High-protein healing diet, Anti-inflammatory, Omnivore/Paleo; Focus on tissue repair nutrients"
165,Huan Shao Dan,Restore Youth Elixir,Liver-Kidney deficiency with weak painful lower back and legs.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
166,Wen Dan Tang Jia Wei,Augmented Warm Gallbladder Decoction,Modern anxiety disorder with Phlegm-Heat and insomnia.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
167,Gui Zhi Jia Long Gu Mu Li Tang Jia Wei,Modified Cinnamon Dragon Bone Oyster Decoction,Severe anxiety with loss of essence and spirit restlessness.,"🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
168,Bu Nao Wan,Supplement the Brain Pill,Modern formula for cognitive decline and memory loss.,"🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
169,Yi Nao Ning Shen Fang,Benefit Brain Calm Spirit Formula,Modern neurasthenia with fatigue and poor concentration.,"🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
170,Jie Yu Ping Wei San,Relieve Depression Calm Stomach Powder,Modern depression with digestive symptoms.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
171,Chai Hu Long Gu Mu Li Tang,Alternative name for Chai Hu Jia Long Gu Mu Li Tang,Mixed constraint with Phlegm and Spirit agitation.,"🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
172,Yang Xin Ning Shen Pian,Nourish Heart Calm Spirit Tablet,Modern formula for palpitations with anxiety.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
173,Ding Zhi Wan,Settle the Emotions Pill,Heart-Kidney disharmony with fearfulness and forgetfulness.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
174,Shou Wu Wan,Polygonum Multiflorum Pill,Liver-Kidney Yin and Blood deficiency with premature aging.,"🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
175,Kong Sheng Zhen Zhong Dan,Supreme Jewel Special Pill for Shaking Syndrome,Liver Wind with Phlegm causing tremors and spasms.,"🥬 Celery, Spinach, Swiss chard, Seaweed, Black fungus (wood ear) | 🍵 Chrysanthemum tea, Hawthorn tea | 🌰 Walnuts, Black sesame, Flax seeds | 🐟 Wild fish | Avoid: Alcohol, spicy foods, excess salt, coffee, energy drinks, MSG | 🥄 Diet: DASH (best for hypertension), Mediterranean, Plant-based with fish, Low-sodium; Focus on calming foods"
176,Fu Zheng Qu Xie Fang,Support Righteous Eliminate Evil Formula,Modern immune support during chemotherapy.,"🍄 Medicinal mushrooms (reishi, shiitake, maitake, lion's mane), Bone broth, Ginger, Garlic, Onions, Astragalus (food use) | 🥬 Colorful vegetables (all colors), Fermented foods (kimchi, sauerkraut) | 🐝 Bee pollen, Royal jelly, Propolis | Avoid: Excess sugar, processed foods, alcohol, trans fats | 🥄 Diet: Whole foods omnivore (best), Paleo, Mediterranean, Immune-supportive with variety"
177,Bu Zhong Yi Qi Tang Jia Wei,Modified Tonify Middle Augment Qi Decoction,Chronic fatigue syndrome with Spleen-Kidney deficiency.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
178,Gu Ben Tang,Secure the Root Decoction,Modern formula for autoimmune conditions with deficiency.,"🍄 Medicinal mushrooms (reishi, shiitake, maitake, lion's mane), Bone broth, Ginger, Garlic, Onions, Astragalus (food use) | 🥬 Colorful vegetables (all colors), Fermented foods (kimchi, sauerkraut) | 🐝 Bee pollen, Royal jelly, Propolis | Avoid: Excess sugar, processed foods, alcohol, trans fats | 🥄 Diet: Whole foods omnivore (best), Paleo, Mediterranean, Immune-supportive with variety"
179,Qing Re Jie Du Kou Fu Ye,Clear Heat Resolve Toxin Oral Liquid,Modern antiviral formula for upper respiratory infections.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
180,Fang Feng Tong Sheng San,Ledebouriella Sagely Unblock Powder,Interior and Exterior excess with constipation and skin issues.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
181,Ma Xing Shi Gan Tang Jia Wei,Modified Ephedra Apricot Gypsum Licorice Decoction,Modern pneumonia formula with Heat in Lungs.,"🥬 Anti-inflammatory vegetables, Turmeric, Ginger, Garlic | 🐟 Wild fish (omega-3) | 🫐 Berries, Green tea | 🍄 Medicinal mushrooms | 🥣 Bone broth (if autoimmune paleo) | Avoid: Gluten, dairy, nightshades, refined sugar, processed foods, alcohol, potential allergens | 🥄 Diet: AIP (Autoimmune Protocol) - best, Elimination diet, Paleo, Anti-inflammatory; May need personalized approach"
182,Qing Wen Bai Du Yin,Clear Epidemic Overcome Toxin Drink,Warm epidemic disease with high fever and skin rashes.,"🍲 Warm soups, Bone/vegetable broth, Ginger tea (fresh), Garlic, Scallions, Onions | 🍊 Vitamin C foods (citrus, kiwi, bell peppers, strawberries) | 🍯 Raw honey, Manuka honey | 🥣 Rice congee | Avoid: Dairy (mucus-forming), cold/raw foods, sugar, processed foods, alcohol | 🥄 Diet: Light easily digestible - Soup-based, Bone broth diet, BRAT modification; Temporary healing protocol"
183,Lian Hua Qing Wen Jiao Nang,Forsythia Honeysuckle Clear Epidemic Capsule,Modern formula for viral infections with Damp-Heat.,"🍄 Medicinal mushrooms (reishi, shiitake, maitake, lion's mane), Bone broth, Ginger, Garlic, Onions, Astragalus (food use) | 🥬 Colorful vegetables (all colors), Fermented foods (kimchi, sauerkraut) | 🐝 Bee pollen, Royal jelly, Propolis | Avoid: Excess sugar, processed foods, alcohol, trans fats | 🥄 Diet: Whole foods omnivore (best), Paleo, Mediterranean, Immune-supportive with variety"
184,Huang Lian Shang Qing Wan,Coptis Upper Clearing Pill,Heat ascending causing headache oral ulcers and red eyes.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
185,Yin Chen Wu Ling San,Artemisia Capillaris Five-Ingredient Poria Powder,Damp-Heat causing jaundice and urinary difficulty.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
186,Jiang Tang Fang,Lower Sugar Formula,Modern diabetes formula with Qi-Yin deficiency.,"🥬 Non-starchy vegetables (unlimited), Leafy greens, Bitter melon, Cinnamon, Fenugreek | 🫘 Lentils, Chickpeas, Black beans (low glycemic) | 🐟 Wild fish, Lean proteins | 🥜 Almonds, Walnuts (portion control) | Avoid: Refined sugars, white rice, white bread, sugary drinks, tropical fruits (excess), alcohol | 🥄 Diet: Low-glycemic, Mediterranean diabetic-friendly, Plant-based whole-foods, Portion-controlled Paleo; Monitor carbs"
187,Xiao Ke Fang,Wasting-Thirst Formula,Diabetes with Heat injuring fluids multi-pattern approach.,"🥬 Non-starchy vegetables (unlimited), Leafy greens, Bitter melon, Cinnamon, Fenugreek | 🫘 Lentils, Chickpeas, Black beans (low glycemic) | 🐟 Wild fish, Lean proteins | 🥜 Almonds, Walnuts (portion control) | Avoid: Refined sugars, white rice, white bread, sugary drinks, tropical fruits (excess), alcohol | 🥄 Diet: Low-glycemic, Mediterranean diabetic-friendly, Plant-based whole-foods, Portion-controlled Paleo; Monitor carbs"
188,Jiang Zhi Ning,Lower Lipids Calming Formula,Modern formula for high cholesterol with Phlegm-Damp.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
189,Xue Zhi Kang,Blood Lipid Health Formula,Hyperlipidemia with Blood stasis and Phlegm turbidity.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
190,Dan Shen Yin,Salvia Drink,Blood stasis in Heart with chest pain and angina.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
191,Guan Xin Shu He Pian,Coronary Comfortable Tablet,Modern coronary heart disease with Qi-Blood stagnation.,"🐟 Omega-3 fatty fish (wild salmon, sardines, mackerel), Flax seeds, Chia seeds, Walnuts | 🫒 Extra virgin olive oil | 🥬 Dark leafy greens, Beets, Garlic | 🫐 Berries (antioxidants) | 🥑 Avocado | Avoid: Trans fats, saturated fats, processed meats, fried foods, excess salt, refined carbs, alcohol | 🥄 Diet: Mediterranean (gold standard), DASH, Pescatarian, Portfolio diet, Plant-based; Focus on heart-healthy fats"
192,Huo Xue Tong Mai Fang,Invigorate Blood Unblock Vessels Formula,Modern cardiovascular formula with atherosclerosis patterns.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
193,Tao Ren Si Wu Tang,Four Substances with Peach Kernel,Blood deficiency with mild Blood stasis.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
194,Tian Qi Dang Gui Pian,Notoginseng and Tangkuei Tablet,Modern formula for cardiovascular support with Blood tonification.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
195,Sheng Jiang Xie Xin Tang,Fresh Ginger Drain Epigastrium Decoction,Shaoyang pattern with watery diarrhea and focal distention.,"🥬 Cooked vegetables, Ginger, Fermented foods (small amounts) | 🍵 Ginger tea, Digestive teas | 🥣 Soups, Congee | Avoid: Greasy foods, alcohol, raw/cold foods, overeating | 🥄 Diet: Balanced cooked foods, Small frequent meals, Avoid extremes (too hot/cold); Focus on middle burner harmony"
196,Gan Cao Xie Xin Tang,Licorice Drain Epigastrium Decoction,Deficiency type mixed Cold-Heat with focal distention.,"🥬 Cooked vegetables, Ginger, Fermented foods (small amounts) | 🍵 Ginger tea, Digestive teas | 🥣 Soups, Congee | Avoid: Greasy foods, alcohol, raw/cold foods, overeating | 🥄 Diet: Balanced cooked foods, Small frequent meals, Avoid extremes (too hot/cold); Focus on middle burner harmony"
197,Bu Fei Tang,Tonify the Lungs Decoction,Lung Qi deficiency with chronic cough and shortness of breath.,"🥬 Cruciferous vegetables (broccoli, cauliflower), Garlic, Ginger, Turmeric | 🐟 Omega-3 fish (reduces inflammation) | 🍊 Vitamin C rich foods | 🫖 Mullein tea, Thyme tea | 🍯 Honey (antibacterial) | Avoid: Dairy (mucus-forming), processed foods, sugar, fried foods, cold drinks, allergens | 🥄 Diet: Anti-inflammatory, Dairy-free, Mediterranean, Whole-food plant-based; Identify and avoid triggers"
198,Ren Shen Ge Jie San,Ginseng and Gecko Powder,Lung-Kidney deficiency with chronic asthma and dyspnea.,"🥬 Cruciferous vegetables (broccoli, cauliflower), Garlic, Ginger, Turmeric | 🐟 Omega-3 fish (reduces inflammation) | 🍊 Vitamin C rich foods | 🫖 Mullein tea, Thyme tea | 🍯 Honey (antibacterial) | Avoid: Dairy (mucus-forming), processed foods, sugar, fried foods, cold drinks, allergens | 🥄 Diet: Anti-inflammatory, Dairy-free, Mediterranean, Whole-food plant-based; Identify and avoid triggers"
199,Bai Tou Weng Tang,Pulsatilla Decoction,Damp-Heat dysentery with bloody diarrhea and tenesmus.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
200,Xie Xin Tang,Drain the Epigastrium Decoction,Upper burner Heat excess with bleeding tendency and irritability.,"🥬 Cooked vegetables, Ginger, Fermented foods (small amounts) | 🍵 Ginger tea, Digestive teas | 🥣 Soups, Congee | Avoid: Greasy foods, alcohol, raw/cold foods, overeating | 🥄 Diet: Balanced cooked foods, Small frequent meals, Avoid extremes (too hot/cold); Focus on middle burner harmony"
